our_soc_code,our_name,felten_soc_code,felten_soc_name,felten_soc_code_2010_final,felten_soc_title,felten_score,match_basis,manual_notes,review_source
43-4131,Loan Interviewers and Clerks,43-4131,Loan Interviewers and Clerks,43-4131,Loan Interviewers and Clerks,1.364395,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-4141,New Accounts Clerks,43-4141,New Accounts Clerks,43-4141,New Accounts Clerks,1.174998,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-4151,Order Clerks,43-4151,Order Clerks,43-4151,Order Clerks,0.8388861,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",1.353098,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-4171,Receptionists and Information Clerks,43-4171,Receptionists and Information Clerks,43-4171,Receptionists and Information Clerks,1.013186,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.227312,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-4199,"Information and Record Clerks, All Other",43-4171,Receptionists and Information Clerks,43-4171,Receptionists and Information Clerks,1.013186,manual_override,Notebook lock for missing-score review,notebook_locked_missing_score
43-5011,Cargo and Freight Agents,43-5011,Cargo and Freight Agents,43-5011,Cargo and Freight Agents,1.405415,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5021,Couriers and Messengers,43-5021,Couriers and Messengers,43-5021,Couriers and Messengers,-0.9591126,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5031,Public Safety Telecommunicators,43-5031,"Police, Fire, and Ambulance Dispatchers",43-5031,"Police, Fire, and Ambulance Dispatchers",0.9074452,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1.234523,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5041,"Meter Readers, Utilities",43-5041,"Meter Readers, Utilities",43-5041,"Meter Readers, Utilities",-0.9723772,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5051,Postal Service Clerks,43-5051,Postal Service Clerks,43-5051,Postal Service Clerks,-0.5186997,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5052,Postal Service Mail Carriers,43-5052,Postal Service Mail Carriers,43-5052,Postal Service Mail Carriers,-1.064715,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.185001,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5061,"Production, Planning, and Expediting Clerks",43-5061,"Production, Planning, and Expediting Clerks",43-5061,"Production, Planning, and Expediting Clerks",0.6999103,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5071,"Shipping, Receiving, and Inventory Clerks",43-5071,"Shipping, Receiving, and Traffic Clerks",43-5071,"Shipping, Receiving, and Traffic Clerks",-0.7463213,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",-0.1860789,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-6011,Executive Secretaries and Executive Administrative Assistants,43-6011,Executive Secretaries and Administrative Assistants,43-6011,Executive Secretaries and Administrative Assistants,1.079643,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-6012,Legal Secretaries and Administrative Assistants,43-6012,Legal Secretaries,43-6012,Legal Secretaries,1.014541,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-6013,Medical Secretaries and Administrative Assistants,43-6013,Medical Secretaries,43-6013,Medical Secretaries,1.217982,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,"Secretaries, Except Legal, Medical, and Executive",43-6014,"Secretaries, Except Legal, Medical, and Executive",1.099056,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9021,Data Entry Keyers,43-9021,Data Entry Keyers,43-9021,Data Entry Keyers,0.3108081,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9022,Word Processors and Typists,43-9022,Word Processors and Typists,43-9022,Word Processors and Typists,0.6219606,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9031,Desktop Publishers,43-9031,Desktop Publishers,43-9031,Desktop Publishers,0.3437743,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9041,Insurance Claims and Policy Processing Clerks,43-9041,Insurance Claims and Policy Processing Clerks,43-9041,Insurance Claims and Policy Processing Clerks,1.240201,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",-0.8184676,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9061,"Office Clerks, General",43-9061,"Office Clerks, General",43-9061,"Office Clerks, General",0.9888986,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9071,"Office Machine Operators, Except Computer",43-9071,"Office Machine Operators, Except Computer",43-9071,"Office Machine Operators, Except Computer",-0.5171404,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9081,Proofreaders and Copy Markers,43-9081,Proofreaders and Copy Markers,43-9081,Proofreaders and Copy Markers,1.288375,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9111,Statistical Assistants,43-9111,Statistical Assistants,43-9111,Statistical Assistants,1.389965,raw_crosswalk_single_match,,notebook_raw_soc_bridge
43-9199,"Office and Administrative Support Workers, All Other",43-9061,"Office Clerks, General",43-9061,"Office Clerks, General",0.9888986,manual_override,Notebook lock for missing-score review,notebook_locked_missing_score
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",-0.4791843,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-2011,Agricultural Inspectors,45-2011,Agricultural Inspectors,45-2011,Agricultural Inspectors,0.1704867,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-2021,Animal Breeders,45-2021,Animal Breeders,45-2021,Animal Breeders,-1.044292,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-2041,"Graders and Sorters, Agricultural Products",45-2041,"Graders and Sorters, Agricultural Products",45-2041,"Graders and Sorters, Agricultural Products",-1.370968,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-2091,Agricultural Equipment Operators,45-2091,Agricultural Equipment Operators,45-2091,Agricultural Equipment Operators,-1.145156,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-1.601349,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-2093,"Farmworkers, Farm and Ranch Animals",45-2093,"Farmworkers, Farm and Ranch Animals",-1.108432,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-2099,"Agricultural Workers, All Other",45-2099,"Agricultural Workers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
45-4011,Forest and Conservation Workers,45-4011,Forest and Conservation Workers,45-4011,Forest and Conservation Workers,-1.064205,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-4021,Fallers,45-4021,Fallers,45-4021,Fallers,-1.795407,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-4022,Logging Equipment Operators,45-4022,Logging Equipment Operators,45-4022,Logging Equipment Operators,-1.003702,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-4023,Log Graders and Scalers,45-4023,Log Graders and Scalers,45-4023,Log Graders and Scalers,-0.4768305,raw_crosswalk_single_match,,notebook_raw_soc_bridge
45-4029,"Logging Workers, All Other",45-4029,"Logging Workers, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,-0.3054048,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2011,Boilermakers,47-2011,Boilermakers,47-2011,Boilermakers,-1.097532,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2021,Brickmasons and Blockmasons,47-2021,Brickmasons and Blockmasons,47-2021,Brickmasons and Blockmasons,-1.75434,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2022,Stonemasons,47-2022,Stonemasons,47-2022,Stonemasons,-1.714759,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2031,Carpenters,47-2031,Carpenters,47-2031,Carpenters,-1.323631,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2041,Carpet Installers,47-2041,Carpet Installers,47-2041,Carpet Installers,-1.564577,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.301024,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2043,Floor Sanders and Finishers,47-2043,Floor Sanders and Finishers,47-2043,Floor Sanders and Finishers,-1.748722,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2044,Tile and Stone Setters,47-2044,Tile and Marble Setters,47-2044,Tile and Marble Setters,-1.22543,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2051,Cement Masons and Concrete Finishers,47-2051,Cement Masons and Concrete Finishers,47-2051,Cement Masons and Concrete Finishers,-1.777407,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2053,Terrazzo Workers and Finishers,47-2053,Terrazzo Workers and Finishers,47-2053,Terrazzo Workers and Finishers,-1.776065,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2061,Construction Laborers,47-2061,Construction Laborers,47-2061,Construction Laborers,-1.622988,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",47-2071,"Paving, Surfacing, and Tamping Equipment Operators",47-2071,"Paving, Surfacing, and Tamping Equipment Operators",-1.184739,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2072,Pile Driver Operators,47-2072,Pile-Driver Operators,47-2072,Pile-Driver Operators,-1.220009,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2073,Operating Engineers and Other Construction Equipment Operators,47-2073,Operating Engineers and Other Construction Equipment Operators,47-2073,Operating Engineers and Other Construction Equipment Operators,-0.8815078,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2081,Drywall and Ceiling Tile Installers,47-2081,Drywall and Ceiling Tile Installers,47-2081,Drywall and Ceiling Tile Installers,-1.647971,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2082,Tapers,47-2082,Tapers,47-2082,Tapers,-1.540774,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2111,Electricians,47-2111,Electricians,47-2111,Electricians,-0.7796905,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2121,Glaziers,47-2121,Glaziers,47-2121,Glaziers,-1.388901,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47-2131,"Insulation Workers, Floor, Ceiling, and Wall",-1.618772,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2132,"Insulation Workers, Mechanical",47-2132,"Insulation Workers, Mechanical",47-2132,"Insulation Workers, Mechanical",-1.268615,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2141,"Painters, Construction and Maintenance",47-2141,"Painters, Construction and Maintenance",47-2141,"Painters, Construction and Maintenance",-1.58799,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2142,Paperhangers,47-2142,Paperhangers,47-2142,Paperhangers,-1.72753,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2151,Pipelayers,47-2151,Pipelayers,47-2151,Pipelayers,-1.225611,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2152,"Plumbers, Pipefitters, and Steamfitters",47-2152,"Plumbers, Pipefitters, and Steamfitters",47-2152,"Plumbers, Pipefitters, and Steamfitters",-1.121219,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2161,Plasterers and Stucco Masons,47-2161,Plasterers and Stucco Masons,47-2161,Plasterers and Stucco Masons,-1.755588,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2171,Reinforcing Iron and Rebar Workers,47-2171,Reinforcing Iron and Rebar Workers,47-2171,Reinforcing Iron and Rebar Workers,-1.970997,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2181,Roofers,47-2181,Roofers,47-2181,Roofers,-1.752941,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2211,Sheet Metal Workers,47-2211,Sheet Metal Workers,47-2211,Sheet Metal Workers,-1.174972,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2221,Structural Iron and Steel Workers,47-2221,Structural Iron and Steel Workers,47-2221,Structural Iron and Steel Workers,-1.780065,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-2231,Solar Photovoltaic Installers,47-2231,Solar Photovoltaic Installers,47-2231,Solar Photovoltaic Installers,-0.9441692,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.94229,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-3012,Helpers--Carpenters,47-3012,Helpers--Carpenters,47-3012,Helpers--Carpenters,-1.425282,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-3013,Helpers--Electricians,47-3013,Helpers--Electricians,47-3013,Helpers--Electricians,-1.506896,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.04484,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.678876,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-3016,Helpers--Roofers,47-3016,Helpers--Roofers,47-3016,Helpers--Roofers,-1.89822,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-3019,"Helpers, Construction Trades, All Other",47-3019,"Helpers, Construction Trades, All Other",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
47-4011,Construction and Building Inspectors,47-4011,Construction and Building Inspectors,47-4011,Construction and Building Inspectors,0.2860245,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-4021,Elevator and Escalator Installers and Repairers,47-4021,Elevator Installers and Repairers,47-4021,Elevator Installers and Repairers,-0.8604742,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-4031,Fence Erectors,47-4031,Fence Erectors,47-4031,Fence Erectors,-1.902113,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-4041,Hazardous Materials Removal Workers,47-4041,Hazardous Materials Removal Workers,47-4041,Hazardous Materials Removal Workers,-0.6887439,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-4051,Highway Maintenance Workers,47-4051,Highway Maintenance Workers,47-4051,Highway Maintenance Workers,-1.27909,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-4061,Rail-Track Laying and Maintenance Equipment Operators,47-4061,Rail-Track Laying and Maintenance Equipment Operators,47-4061,Rail-Track Laying and Maintenance Equipment Operators,-1.39906,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,-1.210591,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-4090,Miscellaneous Construction and Related Workers,47-4099,"Construction and Related Workers, All Other",47-4099,"Construction and Related Workers, All Other",-0.8728439,manual_override,Notebook lock for missing-score review,notebook_locked_missing_score
47-5011,"Derrick Operators, Oil and Gas",47-5011,"Derrick Operators, Oil and Gas",47-5011,"Derrick Operators, Oil and Gas",-1.415002,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5012,"Rotary Drill Operators, Oil and Gas",47-5012,"Rotary Drill Operators, Oil and Gas",47-5012,"Rotary Drill Operators, Oil and Gas",-0.7737326,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5013,"Service Unit Operators, Oil and Gas",47-5013,"Service Unit Operators, Oil, Gas, and Mining",47-5013,"Service Unit Operators, Oil, Gas, and Mining",-0.971916,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",53-7032,Excavating and Loading Machine and Dragline Operators,-1.144356,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5023,"Earth Drillers, Except Oil and Gas",47-5021,"Earth Drillers, Except Oil and Gas",47-5021,"Earth Drillers, Except Oil and Gas",-0.7018391,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.773027,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
47-5041,Continuous Mining Machine Operators,47-5041,Continuous Mining Machine Operators,47-5041,Continuous Mining Machine Operators,-1.165492,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5043,"Roof Bolters, Mining",47-5061,"Roof Bolters, Mining",47-5061,"Roof Bolters, Mining",-1.618518,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
47-5044,"Loading and Moving Machine Operators, Underground Mining",47-5044,"Loading and Moving Machine Operators, Underground Mining (##)",53-7033,"Loading Machine Operators, Underground Mining",-1.262688,raw_crosswalk_deduplicated,,notebook_raw_soc_bridge
47-5049,"Underground Mining Machine Operators, All Other",47-5049,"Underground Mining Machine Operators, All Other (##)",47-5042,Mine Cutting and Channeling Machine Operators,-1.200425,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
47-5051,"Rock Splitters, Quarry",47-5051,"Rock Splitters, Quarry",47-5051,"Rock Splitters, Quarry",-1.763494,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5071,"Roustabouts, Oil and Gas",47-5071,"Roustabouts, Oil and Gas",47-5071,"Roustabouts, Oil and Gas",-1.518977,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5081,Helpers--Extraction Workers,47-5081,Helpers--Extraction Workers,47-5081,Helpers--Extraction Workers,-1.543154,raw_crosswalk_single_match,,notebook_raw_soc_bridge
47-5099,"Extraction Workers, All Other",47-5099,"Extraction Workers, All Other (##)",,,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",-0.0205169,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2011,"Computer, Automated Teller, and Office Machine Repairers",49-2011,"Computer, Automated Teller, and Office Machine Repairers",49-2011,"Computer, Automated Teller, and Office Machine Repairers",-0.3458247,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2021,Radio Mechanics,49-2021,Radio Mechanics,-0.6335382,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.853048,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2091,Avionics Technicians,49-2091,Avionics Technicians,49-2091,Avionics Technicians,-0.1728535,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2092,"Electric Motor, Power Tool, and Related Repairers",49-2092,"Electric Motor, Power Tool, and Related Repairers",49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.8106341,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.8303875,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.4632031,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.5522636,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-0.7915968,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2097,Audiovisual Equipment Installers and Repairers,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,-0.571284,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-2098,Security and Fire Alarm Systems Installers,49-2098,Security and Fire Alarm Systems Installers,49-2098,Security and Fire Alarm Systems Installers,-0.6926484,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3011,Aircraft Mechanics and Service Technicians,49-3011,Aircraft Mechanics and Service Technicians,49-3011,Aircraft Mechanics and Service Technicians,-0.6551197,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3021,Automotive Body and Related Repairers,49-3021,Automotive Body and Related Repairers,49-3021,Automotive Body and Related Repairers,-1.180589,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3022,Automotive Glass Installers and Repairers,49-3022,Automotive Glass Installers and Repairers,49-3022,Automotive Glass Installers and Repairers,-1.202285,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3023,Automotive Service Technicians and Mechanics,49-3023,Automotive Service Technicians and Mechanics,49-3023,Automotive Service Technicians and Mechanics,-0.9547055,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,-1.010472,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3041,Farm Equipment Mechanics and Service Technicians,49-3041,Farm Equipment Mechanics,49-3041,Farm Equipment Mechanics,-1.20703,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",-1.169815,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3043,Rail Car Repairers,49-3043,Rail Car Repairers,49-3043,Rail Car Repairers,-1.448102,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3051,Motorboat Mechanics and Service Technicians,49-3051,Motorboat Mechanics,49-3051,Motorboat Mechanics,-0.8863602,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3052,Motorcycle Mechanics,49-3052,Motorcycle Mechanics,49-3052,Motorcycle Mechanics,-0.763721,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.8941408,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3091,Bicycle Repairers,49-3091,Bicycle Repairers,49-3091,Bicycle Repairers,-0.9226068,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3092,Recreational Vehicle Service Technicians,49-3092,Recreational Vehicle Service Technicians,49-3092,Recreational Vehicle Service Technicians,-0.9244052,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-3093,Tire Repairers and Changers,49-3093,Tire Repairers and Changers,49-3093,Tire Repairers and Changers,-1.550724,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9011,Mechanical Door Repairers,49-9011,Mechanical Door Repairers,49-9011,Mechanical Door Repairers,-1.383152,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.7606913,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.8491117,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9031,Home Appliance Repairers,49-9031,Home Appliance Repairers,49-9031,Home Appliance Repairers,-0.9703799,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9041,Industrial Machinery Mechanics,49-9041,Industrial Machinery Mechanics,49-9041,Industrial Machinery Mechanics,-1.133177,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9043,"Maintenance Workers, Machinery",49-9043,"Maintenance Workers, Machinery",49-9043,"Maintenance Workers, Machinery",-0.9735492,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9044,Millwrights,49-9044,Millwrights,49-9044,Millwrights,-1.266085,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9045,"Refractory Materials Repairers, Except Brickmasons",49-9045,"Refractory Materials Repairers, Except Brickmasons",49-9045,"Refractory Materials Repairers, Except Brickmasons",-1.237463,raw_crosswalk_single_match,,notebook_raw_soc_bridge
49-9051,Electrical Power-Line Installers and Repairers,49-9051,Electrical Power-Line Installers and Repairers,49-9051,Electrical Power-Line Installers and Repairers,-1.081398,raw_crosswalk_single_match,,notebook_raw_soc_bridge
