soc_code,soc_title_ours,selected_felten_code,selected_felten_name,aioe_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step3_match_flag
25-1052,"Chemistry Teachers, Postsecondary",25-1052,"Chemistry Teachers, Postsecondary",1.333947,raw_crosswalk_single_match,,notebook_raw_soc_bridge,12740.0,9.768678610627065e-05,True
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other (#)",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,12600.0,9.661330494026768e-05,False
35-2019,"Cooks, All Other",35-2019,"Cooks, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,12380.0,9.492640596512014e-05,False
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.5522636,raw_crosswalk_single_match,,notebook_raw_soc_bridge,12380.0,9.492640596512014e-05,True
19-3039,"Psychologists, All Other",19-3039,"Psychologists, All Other",1.389854,raw_crosswalk_single_match,,notebook_raw_soc_bridge,12290.0,9.423631092983252e-05,True
29-1218,Obstetricians and Gynecologists,29-1064,Obstetricians and Gynecologists,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,12150.0,9.316282976382955e-05,False
17-3028,Calibration Technologists and Technicians,17-3028,Calibration Technologists and Technicians,0.1941278,raw_crosswalk_single_match,,notebook_raw_soc_bridge,12140.0,9.308615253768647e-05,True
17-2171,Petroleum Engineers,17-2171,Petroleum Engineers,1.247779,raw_crosswalk_single_match,,notebook_raw_soc_bridge,12120.0,9.293279808540034e-05,True
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",-0.3454376,raw_crosswalk_single_match,,notebook_raw_soc_bridge,12120.0,9.293279808540034e-05,True
29-9093,Surgical Assistants,29-9093,Surgical Assistants,0.2295568,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11920.0,9.139925356253894e-05,True
33-3011,Bailiffs,33-3011,Bailiffs,-0.5103183,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11850.0,9.086251297953745e-05,True
25-1125,"History Teachers, Postsecondary",25-1125,"History Teachers, Postsecondary",1.43749,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11780.0,9.032577239653597e-05,True
29-2033,Nuclear Medicine Technologists,29-2033,Nuclear Medicine Technologists,0.0855276,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11770.0,9.02490951703929e-05,True
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-0.8847935,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11730.0,8.994238626582063e-05,True
49-2097,Audiovisual Equipment Installers and Repairers,49-2097,Audiovisual Equipment Installers and Repairers,-0.571284,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11730.0,8.994238626582063e-05,True
49-2091,Avionics Technicians,49-2091,Avionics Technicians,-0.1728535,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11620.0,8.909893677824686e-05,True
19-2012,Physicists,19-2012,Physicists,1.345736,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11610.0,8.902225955210378e-05,True
25-1124,"Foreign Language and Literature Teachers, Postsecondary",25-1124,"Foreign Language and Literature Teachers, Postsecondary",1.33412,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11570.0,8.871555064753151e-05,True
45-2091,Agricultural Equipment Operators,45-2091,Agricultural Equipment Operators,-1.145156,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11470.0,8.79487783861008e-05,True
41-2012,Gambling Change Persons and Booth Cashiers,41-2012,Gambling Change Persons and Booth Cashiers,-0.0500926,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11440.0,8.771874670767161e-05,True
19-3011,Economists,19-3011,Economists,1.403764,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11380.0,8.725868335081319e-05,True
41-9021,Real Estate Brokers,41-9021,Real Estate Brokers,1.149681,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11330.0,8.687529722009784e-05,True
43-5041,"Meter Readers, Utilities",43-5041,"Meter Readers, Utilities",-0.9723772,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11310.0,8.672194276781169e-05,True
51-6093,Upholsterers,51-6093,Upholsterers,-1.313735,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11250.0,8.626187941095329e-05,True
19-4071,Forest and Conservation Technicians,19-4093,Forest and Conservation Technicians,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,11190.0,8.580181605409486e-05,False
25-1065,"Political Science Teachers, Postsecondary",25-1065,"Political Science Teachers, Postsecondary",1.368397,raw_crosswalk_single_match,,notebook_raw_soc_bridge,11000.0,8.434494875737654e-05,True
53-7011,Conveyor Operators and Tenders,53-7011,Conveyor Operators and Tenders,-0.7554432,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10880.0,8.342482204365971e-05,True
49-9094,Locksmiths and Safe Repairers,49-9094,Locksmiths and Safe Repairers,-0.8657498,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10580.0,8.112450525936762e-05,True
51-2031,Engine and Other Machine Assemblers,51-2031,Engine and Other Machine Assemblers,-0.9561453,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10480.0,8.035773299793693e-05,True
25-1112,"Law Teachers, Postsecondary",25-1112,"Law Teachers, Postsecondary",1.35645,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10460.0,8.020437854565078e-05,True
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.06734,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10440.0,8.005102409336464e-05,True
25-2023,"Career/Technical Education Teachers, Middle School",25-2023,"Career/Technical Education Teachers, Middle School",0.5199191,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10360.0,7.943760628422009e-05,True
25-1069,"Social Sciences Teachers, Postsecondary, All Other",25-1069,"Social Sciences Teachers, Postsecondary, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,10330.0,7.920757460579088e-05,False
17-3019,"Drafters, All Other",17-3019,"Drafters, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,10280.0,7.882418847507553e-05,False
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.392929,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10110.0,7.752067563064335e-05,True
27-4014,Sound Engineering Technicians,27-4014,Sound Engineering Technicians,0.4715462,raw_crosswalk_single_match,,notebook_raw_soc_bridge,10030.0,7.69072578214988e-05,True
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.374714,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9980.0,7.652387169078344e-05,True
45-2041,"Graders and Sorters, Agricultural Products",45-2041,"Graders and Sorters, Agricultural Products",-1.370968,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9970.0,7.644719446464038e-05,True
29-1129,"Therapists, All Other",29-1129,"Therapists, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,9940.0,7.621716278621117e-05,False
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.758859,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9890.0,7.583377665549582e-05,True
19-1023,Zoologists and Wildlife Biologists,19-1023,Zoologists and Wildlife Biologists,0.3175953,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9880.0,7.575709942935274e-05,True
29-1125,Recreational Therapists,29-1125,Recreational Therapists,0.2190109,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9820.0,7.529703607249432e-05,True
51-4199,"Metal Workers and Plastic Workers, All Other",51-4199,"Metal Workers and Plastic Workers, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,9810.0,7.522035884635126e-05,False
27-2023,"Umpires, Referees, and Other Sports Officials",27-2023,"Umpires, Referees, and Other Sports Officials",-0.0325617,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9720.0,7.453026381106363e-05,True
29-1212,Cardiologists,29-1212,Cardiologists,0.7086123,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9710.0,7.445358658492057e-05,True
19-4013,Food Science Technicians,19-4011,Agricultural and Food Science Technicians (#),,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial,9690.0,7.430023213263442e-05,False
47-2082,Tapers,47-2082,Tapers,-1.540774,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9620.0,7.376349154963294e-05,True
29-1224,Radiologists,29-1224,Radiologists,0.7086123,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9600.0,7.36101370973468e-05,True
33-2021,Fire Inspectors and Investigators,33-2021,Fire Inspectors and Investigators,0.062793,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9480.0,7.269001038362996e-05,True
53-2022,Airfield Operations Specialists,53-2022,Airfield Operations Specialists,0.4845738,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9400.0,7.20765925744854e-05,True
47-5023,"Earth Drillers, Except Oil and Gas",47-5021,"Earth Drillers, Except Oil and Gas (#)",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,9350.0,7.169320644377006e-05,False
49-3022,Automotive Glass Installers and Repairers,49-3022,Automotive Glass Installers and Repairers,-1.202285,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9350.0,7.169320644377006e-05,True
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.068559,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9290.0,7.123314308691164e-05,True
29-1124,Radiation Therapists,29-1124,Radiation Therapists,-0.2189393,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9140.0,7.00829846947656e-05,True
47-4031,Fence Erectors,47-4031,Fence Erectors,-1.902113,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9110.0,6.985295301633639e-05,True
53-7073,Wellhead Pumpers,53-7073,Wellhead Pumpers,-1.091197,raw_crosswalk_single_match,,notebook_raw_soc_bridge,9110.0,6.985295301633639e-05,True
27-4099,"Media and Communication Equipment Workers, All Other",27-4099,"Media and Communication Equipment Workers, All Other (#)",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,8970.0,6.877947185033341e-05,False
17-1021,Cartographers and Photogrammetrists,17-1021,Cartographers and Photogrammetrists,0.8169979,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8920.0,6.839608571961806e-05,True
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.141885,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8730.0,6.693921842289974e-05,True
27-2041,Music Directors and Composers,27-2041,Music Directors and Composers,0.8829641,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8690.0,6.663250951832747e-05,True
19-1012,Food Scientists and Technologists,19-1012,Food Scientists and Technologists,0.7943575,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8610.0,6.601909170918291e-05,True
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,-0.3040507,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8600.0,6.594241448303984e-05,True
19-1041,Epidemiologists,19-1041,Epidemiologists,1.436287,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8580.0,6.57890600307537e-05,True
19-1013,Soil and Plant Scientists,19-1013,Soil and Plant Scientists,0.6320696,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8550.0,6.555902835232449e-05,True
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",51-6099,"Textile, Apparel, and Furnishings Workers, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,8550.0,6.555902835232449e-05,False
51-6052,"Tailors, Dressmakers, and Custom Sewers",51-6052,"Tailors, Dressmakers, and Custom Sewers",-0.4305268,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8450.0,6.47922560908938e-05,True
51-4051,Metal-Refining Furnace Operators and Tenders,51-4051,Metal-Refining Furnace Operators and Tenders,-1.167465,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8430.0,6.463890163860766e-05,True
51-7021,Furniture Finishers,51-7021,Furniture Finishers,-1.197727,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8320.0,6.37954521510339e-05,True
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-1.092486,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8290.0,6.356542047260468e-05,True
51-8099,"Plant and System Operators, All Other",51-8099,"Plant and System Operators, All Other",-0.6702387,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8240.0,6.318203434188934e-05,True
25-4013,Museum Technicians and Conservators,25-4013,Museum Technicians and Conservators,-0.0912107,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8160.0,6.256861653274478e-05,True
27-3092,Court Reporters and Simultaneous Captioners,27-3092,Court Reporters and Simultaneous Captioners,0.835246,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8050.0,6.172516704517101e-05,True
27-1027,Set and Exhibit Designers,27-1027,Set and Exhibit Designers,-0.0519323,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8030.0,6.157181259288488e-05,True
25-4012,Curators,25-4012,Curators,0.7366658,raw_crosswalk_single_match,,notebook_raw_soc_bridge,8010.0,6.141845814059874e-05,True
51-2051,Fiberglass Laminators and Fabricators,51-2091,Fiberglass Laminators and Fabricators,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,7900.0,6.057500865302497e-05,False
51-8091,Chemical Plant and System Operators,51-8091,Chemical Plant and System Operators,-0.3831282,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7890.0,6.04983314268819e-05,True
25-1054,"Physics Teachers, Postsecondary",25-1054,"Physics Teachers, Postsecondary",1.044191,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7820.0,5.996159084388041e-05,True
49-3092,Recreational Vehicle Service Technicians,49-3092,Recreational Vehicle Service Technicians,-0.9244052,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7780.0,5.965488193930813e-05,True
29-1181,Audiologists,29-1181,Audiologists,0.6329063,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7700.0,5.9041464130163575e-05,True
43-4041,"Credit Authorizers, Checkers, and Clerks",43-4041,"Credit Authorizers, Checkers, and Clerks",1.440296,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7610.0,5.835136909487595e-05,True
17-3025,Environmental Engineering Technologists and Technicians,17-3025,Environmental Engineering Technologists and Technicians,0.0438054,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7600.0,5.827469186873288e-05,True
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.389999,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7590.0,5.8198014642589815e-05,True
43-3041,Gambling Cage Workers,43-3041,Gambling Cage Workers,0.4026518,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7520.0,5.7661274059588326e-05,True
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.94229,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7500.0,5.750791960730219e-05,True
21-2099,"Religious Workers, All Other",21-2099,"Religious Workers, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,7470.0,5.727788792887298e-05,False
47-2171,Reinforcing Iron and Rebar Workers,47-2171,Reinforcing Iron and Rebar Workers,-1.970997,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7460.0,5.720121070272991e-05,True
51-8092,Gas Plant Operators,51-8092,Gas Plant Operators,-0.2982082,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7380.0,5.6587792893585355e-05,True
23-1012,Judicial Law Clerks,23-1012,Judicial Law Clerks,1.462973,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7330.0,5.620440676287e-05,True
25-1067,"Sociology Teachers, Postsecondary",25-1067,"Sociology Teachers, Postsecondary",1.349229,raw_crosswalk_single_match,,notebook_raw_soc_bridge,7110.0,5.4517507787722474e-05,True
53-1041,Aircraft Cargo Handling Supervisors,53-1011,Aircraft Cargo Handling Supervisors,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,7060.0,5.413412165700713e-05,False
39-3019,"Gambling Service Workers, All Other",39-3019,"Gaming Service Workers, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,6960.0,5.336734939557643e-05,False
17-3021,Aerospace Engineering and Operations Technologists and Technicians,17-3021,Aerospace Engineering and Operations Technologists and Technicians,0.3909402,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6940.0,5.321399494329029e-05,True
27-2021,Athletes and Sports Competitors,27-2021,Athletes and Sports Competitors,-1.814336,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6870.0,5.2677254360288804e-05,True
11-9161,Emergency Management Directors,11-9161,Emergency Management Directors,1.030768,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6740.0,5.16804504204289e-05,True
49-2092,"Electric Motor, Power Tool, and Related Repairers",49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.8106341,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6720.0,5.152709596814276e-05,True
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",1.16489,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6680.0,5.122038706357048e-05,True
11-9171,Funeral Home Managers,11-9061,Funeral Service Managers,,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,6660.0,5.1067032611284344e-05,False
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.241662,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6660.0,5.1067032611284344e-05,True
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-0.9582346,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6630.0,5.083700093285513e-05,True
45-2011,Agricultural Inspectors,45-2011,Agricultural Inspectors,0.1704867,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6610.0,5.0683646480569e-05,True
25-1113,"Social Work Teachers, Postsecondary",25-1113,"Social Work Teachers, Postsecondary",1.347327,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6570.0,5.037693757599672e-05,True
49-3091,Bicycle Repairers,49-3091,Bicycle Repairers,-0.9226068,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6450.0,4.9456810862279884e-05,True
39-5011,Barbers,39-5011,Barbers,-0.7294621,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6440.0,4.938013363613681e-05,True
25-1063,"Economics Teachers, Postsecondary",25-1063,"Economics Teachers, Postsecondary",1.319012,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6430.0,4.930345640999374e-05,True
27-1029,"Designers, All Other",27-1029,"Designers, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,6390.0,4.899674750542146e-05,False
51-9082,Medical Appliance Technicians,51-9082,Medical Appliance Technicians,-0.4949538,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6390.0,4.899674750542146e-05,True
37-3019,"Grounds Maintenance Workers, All Other",37-3019,"Grounds Maintenance Workers, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,6260.0,4.799994356556156e-05,False
17-2161,Nuclear Engineers,17-2161,Nuclear Engineers,1.303009,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6130.0,4.7003139625701657e-05,True
51-9022,"Grinding and Polishing Workers, Hand",51-9022,"Grinding and Polishing Workers, Hand",-1.146524,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6080.0,4.6619753494986303e-05,True
29-1081,Podiatrists,29-1081,Podiatrists,0.6279185,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6070.0,4.6543076268843236e-05,True
29-2092,Hearing Aid Specialists,29-2092,Hearing Aid Specialists,0.5648953,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6060.0,4.646639904270017e-05,True
33-9011,Animal Control Workers,33-9011,Animal Control Workers,-0.5946321,raw_crosswalk_single_match,,notebook_raw_soc_bridge,6020.0,4.615969013812789e-05,True
53-6099,"Transportation Workers, All Other",53-6099,"Transportation Workers, All Other (#)",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,5940.0,4.554627232898333e-05,False
19-2021,Atmospheric and Space Scientists,19-2021,Atmospheric and Space Scientists,1.373917,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5850.0,4.485617729369571e-05,True
47-2041,Carpet Installers,47-2041,Carpet Installers,-1.564577,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5850.0,4.485617729369571e-05,True
47-5012,"Rotary Drill Operators, Oil and Gas",47-5012,"Rotary Drill Operators, Oil and Gas",-0.7737326,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5700.0,4.370601890154966e-05,True
49-3052,Motorcycle Mechanics,49-3052,Motorcycle Mechanics,-0.763721,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5690.0,4.3629341675406594e-05,True
27-4015,Lighting Technicians,,,,,,,5610.0,4.301592386626204e-05,False
37-2019,"Building Cleaning Workers, All Other",37-2019,"Building Cleaning Workers, All Other",,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial,5580.0,4.278589218783283e-05,False
19-2032,Materials Scientists,19-2032,Materials Scientists,1.032757,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5570.0,4.270921496168976e-05,True
53-5031,Ship Engineers,53-5031,Ship Engineers,-0.5264951,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5520.0,4.232582883097441e-05,True
51-2021,"Coil Winders, Tapers, and Finishers",51-2021,"Coil Winders, Tapers, and Finishers",-0.8289722,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5410.0,4.1482379343400645e-05,True
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.8298703,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5400.0,4.140570211725758e-05,True
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.308699,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5390.0,4.13290248911145e-05,True
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",-0.6335382,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5390.0,4.13290248911145e-05,True
25-4011,Archivists,25-4011,Archivists,0.6765602,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5310.0,4.0715607081969946e-05,True
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.306156,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5260.0,4.03322209512546e-05,True
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",-0.5690498,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5250.0,4.025554372511153e-05,True
29-1242,"Orthopedic Surgeons, Except Pediatric",29-1242,"Orthopedic Surgeons, Except Pediatric",-0.0504534,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5220.0,4.002551204668232e-05,True
51-9191,Adhesive Bonding Machine Operators and Tenders,51-9191,Adhesive Bonding Machine Operators and Tenders,-1.311418,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5170.0,3.9642125915966975e-05,True
53-4041,Subway and Streetcar Operators,53-4041,Subway and Streetcar Operators,-0.6155429,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5130.0,3.9335417011394697e-05,True
19-4012,Agricultural Technicians,19-4011,Agricultural and Food Science Technicians (#),,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial,5070.0,3.8875353654536276e-05,False
13-1032,"Insurance Appraisers, Auto Damage",13-1032,"Insurance Appraisers, Auto Damage",0.6634955,raw_crosswalk_single_match,,notebook_raw_soc_bridge,5020.0,3.849196752382093e-05,True
19-3091,Anthropologists and Archeologists,19-3091,Anthropologists and Archeologists,0.6965665,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4930.0,3.7801872488533305e-05,True
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8703219,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4900.0,3.7571840810104094e-05,True
33-3041,Parking Enforcement Workers,33-3041,Parking Enforcement Workers,-0.6239931,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4890.0,3.7495163583961026e-05,True
39-3092,Costume Attendants,39-3092,Costume Attendants,-0.4533608,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4860.0,3.7265131905531816e-05,True
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",-1.022949,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4850.0,3.718845467938875e-05,True
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.8596925,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4800.0,3.68050685486734e-05,True
29-1222,"Physicians, Pathologists",29-1222,"Physicians, Pathologists",0.7086123,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4780.0,3.665171409638726e-05,True
27-2031,Dancers,27-2031,Dancers,-2.669758,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4770.0,3.657503687024419e-05,True
29-2091,Orthotists and Prosthetists,29-2091,Orthotists and Prosthetists,0.066577,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4690.0,3.5961619061099634e-05,True
29-1128,Exercise Physiologists,29-1128,Exercise Physiologists,-0.0331901,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4570.0,3.50414923473828e-05,True
53-6041,Traffic Technicians,53-6041,Traffic Technicians,0.3995872,raw_crosswalk_single_match,,notebook_raw_soc_bridge,4570.0,3.50414923473828e-05,True
